OID_,CID,avg_rain,water,vegetation,slope,rugged,productivity,geology,elevation,min_temp,aspect,rabbit,pig,temp_diff,lantana,land_clear,horse,habitat,grazing,goat,fox_den,flood,drought,dog,inapp_fire,cat_den,lat,long
0,0,92.0020981,2415.189941,3,0.21535,141.1269989,0.500666,1,544.1149902,11.2504997,4.65698,0.385857,0.384649,0.168731,0.687708,0,0.562542,0.482021,0,0.0689884,0.263323,4,0,0.73641,0,0.190806,-3291251.22,1958408.37
1,0,92.1007004,3422.780029,1,7.7828202,342.6539917,0.550593,1,475.4509888,12.1524,114.1139984,0.186444,0.13035,0.279599,0.62432,0,0.479203,0.921197,0,0.0661994,0.13248,2,1,0.639737,0,0.174927,-3269487.762,1992715.656
2,0,84.9857025,1003.429993,3,2.8426499,227.9779968,0.525882,1,710.9500122,10.3304996,338.3590088,0.413013,0.469707,0.177599,0.407819,0,0.564542,0.923927,0,0.0842677,0.252207,10,1,0.751464,0,0.197165,-3292900.969,1949262.688
3,0,65.8051987,1026.170044,3,9.8021898,740.2869873,0.462995,4,575.5750122,8.2056198,199.4730072,0.537709,0.297979,0.378286,0.0174205,0,0.63604,0.746041,0,0.306047,0.306748,2,3,0.651772,0,0.214107,-3918267.044,1649423.417
4,0,85.5170975,2873.169922,3,6.8940101,530.8829956,0.505935,4,834.1090088,9.7840796,222.4429932,0.419953,0.280714,0.441006,0.295512,0,0.45891,0.820139,0,0.063919,0.159239,3,0,0.681876,1,0.179128,-3395757.335,1931560.185
5,0,99.2734985,1004.359985,2,4.5145798,263.9859924,0.506293,4,310.0669861,11.3481998,161.3690033,0.378364,0.243734,0.0650613,0.608061,1,0.535143,0.768287,2,0.110969,0.316706,0,1,0.614185,0,0.178291,-3653594.763,1813754.847
6,0,93.4515991,1000.099976,3,5.1409402,359.3320007,0.509165,4,245.6109924,10.5016003,122.9660034,0.383287,0.287204,0.436296,0.622744,0,0.558833,0.865161,0,0.0621373,0.106782,3,0,0.686664,1,0.175043,-3377845.343,1936867.007
7,0,75.3739014,1003.27002,3,9.2061901,569.2109985,0.495756,1,719.1190186,8.4256096,157.8509979,0.332519,0.322906,0.273062,0.0216678,0,0.347718,0.910844,0,0.26195,0.360407,1,1,0.629092,0,0.206865,-3591960.327,1702742.777
8,0,120.1320038,2005.699951,2,6.5745101,406.3120117,0.589994,1,457.6419983,10.9575005,332.2590027,0.390858,0.24592,0.243159,0.532136,0,0.644473,0.843322,1,0.154052,0.124157,0,2,0.68847,0,0.156668,-3646887.349,1829244.444
9,0,92.9937973,1414.640015,3,2.9909301,206.4550018,0.484418,1,633.1220093,10.6957998,292.9590149,0.294341,0.10877,0.236095,0.52527,0,0.363811,0.666676,1,0.0645178,0.277447,2,0,0.620173,1,0.199081,-3201173.172,1967014.217
10,0,81.6691971,1006.969971,5,7.10671,297.3760071,0.48105,1,754.4940186,10.7087002,157.8470001,0.291195,0.11717,0.221572,0.338551,0,0.342305,0.835359,1,0.0961554,0.455941,1,0,0.652265,0,0.18639,-3191414.591,1964370.188
