OID_,CID,aspect,elevation,geology,min_temp,productivity,rugged,slope,vegetation,water,avg_rain,inapp_fire,rabbit,pig,temp_diff,lantana,land_clear,horse,habitat,grazing,goat,fox_den,flood,drought,dog,cat_den,lat,long
0,0,164.3959961,175.6840057,4,9.7307301,0.42171,293.3729858,1.2158999,5,0,49.955101,0,0.470472,0.489165,0.11577,0.117826,0,0.551942,0.862838,0,0.270987,0.318761,0,2,0.493008,0.258155,-3649177.979,1705978.743
1,0,172.5,1160.349976,4,6.2596102,0.555597,350.1759949,4.29386,5,2010.650024,87.8816986,0,0.515467,0.337626,0.673475,0,0,0.542628,0.527072,0,0.0615388,1.13916,0,3,0.71097,0.226063,-3560296.075,1834691.46
2,0,231.8959961,48.8442993,3,13.0817003,0.561266,177.8200073,3.7776201,1,1000.98999,124.7210007,0,0.299387,0.264436,0.264062,0.753311,1,0.591037,0.761202,0,0.0872507,0.52211,0,0,0.547784,0.161225,-3480786.71,1976077.267
3,0,324.1210022,656.4760132,4,11.0846004,0.435189,161.223999,1.61771,1,3831.459961,66.8798981,0,0.438518,0.202731,0.277393,0.54149,1,0.375106,0.505642,2,0.0302875,0.586716,1,1,0.64741,0.218681,-3102313.574,1953102.043
4,0,88.941597,428.1809998,4,9.9600096,0.371839,337.2380066,6.5601902,6,2003.52002,58.9210014,0,0.446511,0.496116,0.348027,0.0732204,0,0.323685,0.902038,0,0.418534,0.349789,2,0,0.385131,0.216636,-3372508.037,1743011.733
5,0,176.7610016,576.427002,3,9.4320002,0.532171,572.4970093,11.0108004,1,1014.48999,98.9269028,0,0.376235,0.449088,0.619507,0.236492,0,0.551997,0.902417,0,0.0803729,0.143055,4,2,0.717782,0.159385,-3559999.476,1894343.81
6,0,87.4349976,492.868988,4,7.1027002,0.406601,388.9230042,3.3287899,5,1019.729981,56.1332016,1,0.628558,0.422365,0.299908,0,0,0.360238,0.890439,0,0.320404,0.722987,3,1,0.63771,0.259542,-4132372.359,926698.1685
7,0,204.9570007,109.8000031,4,11.1490002,0.44207,202.0700073,2.7088499,3,1006.340027,72.7498016,1,0.341042,0.13857,0.321202,0.665521,0,0.539952,0.882158,1,0.132356,0.775734,0,1,0.675041,0.21752,-3779375.716,1734562.803
8,0,222.6309967,633.2709961,4,9.1990805,0.363687,124.887001,2.6870999,5,1000.580017,59.3875999,0,0.490612,0.358955,0.331467,0.242814,1,0.331319,0.659908,2,0.158671,0.449551,0,1,0.482084,0.236679,-3271512.809,1892947.379
9,0,195.6580048,496.0190125,1,11.3446999,0.431721,154.8549957,1.19368,5,1007.380005,63.1265984,0,0.448595,0.331134,0.301732,0.506175,0,0.435273,0.601127,1,0.0678894,0.344915,2,1,0.606337,0.220184,-3159844.853,1945299.214
10,0,249.0160065,366.9519958,4,10.3870001,0.371376,100.4140015,1.21064,5,0,54.5078011,0,0.460638,0.384943,0.47395,0.1765,0,0.377358,0.722974,1,0.211467,0.355511,0,0,0.49988,0.23186,-3292251.836,1854445.881
11,0,314.6400146,445.0580139,4,10.1075001,0.371631,235.6150055,4.1384401,5,1003.919983,55.4555016,0,0.43404,0.435292,0.483892,0.198684,1,0.431718,0.881971,2,0.280931,0.32266,0,0,0.532408,0.230864,-3297029.91,1870508.624
12,0,225.8950043,346.973999,1,10.4364004,0.405853,222.6309967,3.37693,5,0,56.5456009,0,0.469752,0.717017,0.0301874,0.10561,0,0.494971,0.786837,1,0.328349,0.236387,1,1,0.628144,0.219996,-3428477.317,1708896.577
13,0,36.9533005,549.0689697,4,8.7304802,0.370279,159.9579926,2.40044,5,1414.52002,61.0498009,0,0.439376,0.258525,0.276752,0.0929633,1,0.102484,0.574885,0,0.09637,0.620726,1,0,0.315256,0.236373,-3540326.266,1766643.842
14,0,86.6054993,871.947998,3,9.61831,0.517452,675.6409912,2.70837,1,2479.189941,81.6306,0,0.434981,0.335903,0.561721,0.214838,0,0.506236,0.846856,0,0.208224,0.241126,1,1,0.683811,0.175136,-3592000.066,1861066.221
15,0,126.8659973,553.1740112,4,8.8772202,0.441435,318.677002,6.9327502,2,1003.229981,63.1076012,0,0.486015,0.449356,0.464016,0.118341,0,0.463731,0.498595,2,0.189835,0.647118,0,2,0.628661,0.219538,-3608090.498,1799745.478
16,0,128.5429993,214.9170074,4,12.0879002,0.541203,145.1360016,2.8559,3,2001.060059,89.0137024,0,0.337913,0.285295,0.402169,0.708651,1,0.565362,0.657106,0,0.0809714,0.172616,4,1,0.683645,0.187463,-3315349.908,1984547.385
17,0,277.9620056,773.2780151,2,7.2581501,0.402361,319.5220032,3.58603,5,1015.080017,64.4927979,0,0.577145,0.383247,0.0860781,0,1,0.308909,0.574214,2,0.156163,1.27663,1,1,0.572927,0.245682,-3817438.65,1570387.701
